  Mh = 0.8

  Q 
0.10000E+01 0.10965E+01 0.12023E+01 0.13183E+01 0.14454E+01
0.15849E+01 0.17378E+01 0.19055E+01 0.20893E+01 0.22909E+01
0.25119E+01 0.27542E+01 0.30200E+01 0.33113E+01 0.36308E+01
0.39811E+01 0.43652E+01 0.47863E+01 0.52481E+01 0.57544E+01
0.63096E+01 0.69183E+01 0.75858E+01 0.83176E+01 0.91201E+01
0.10000E+02 0.10965E+02 0.12023E+02 0.13183E+02 0.14454E+02
0.15849E+02 0.17378E+02 0.19055E+02 0.20893E+02 0.22909E+02
0.25119E+02 0.27542E+02 0.30200E+02 0.33113E+02 0.36308E+02
0.39811E+02 0.43652E+02 0.47863E+02 0.52481E+02 0.57544E+02
0.63096E+02 0.69183E+02 0.75858E+02 0.83176E+02 0.91201E+02

  z 
0.20000E+00 0.22667E+00 0.25333E+00 0.28000E+00 0.30667E+00
0.33333E+00 0.36000E+00 0.38667E+00 0.41333E+00 0.44000E+00
0.46667E+00 0.49333E+00 0.52000E+00 0.54667E+00 0.57333E+00
0.60000E+00 0.62667E+00 0.65333E+00 0.68000E+00 0.70667E+00
0.73333E+00 0.76000E+00 0.78667E+00 0.81333E+00 0.84000E+00
0.86667E+00 0.89333E+00 0.92000E+00 0.94667E+00 0.97333E+00


  anti-t       anti-b       anti-c       anti-s       anti-u       anti-d       g            d            u            s            c            b            t
  0.00000E+00  0.00000E+00  0.10834E-01  0.74101E-01  0.30851E+00  0.31001E+00  0.00000E+00  0.31001E+00  0.30851E+00  0.74101E-01  0.10834E-01  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.64818E-02  0.55443E-01  0.25476E+00  0.25594E+00  0.00000E+00  0.25594E+00  0.25476E+00  0.55443E-01  0.64818E-02  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.36097E-02  0.39787E-01  0.20294E+00  0.20386E+00  0.00000E+00  0.20386E+00  0.20294E+00  0.39787E-01  0.36097E-02  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.18171E-02  0.26993E-01  0.15345E+00  0.15417E+00  0.00000E+00  0.15417E+00  0.15345E+00  0.26993E-01  0.18171E-02  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.78571E-03  0.16920E-01  0.10691E+00  0.10746E+00  0.00000E+00  0.10746E+00  0.10691E+00  0.16920E-01  0.78571E-03  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.26773E-03  0.94197E-02  0.64225E-01  0.64644E-01  0.00000E+00  0.64644E-01  0.64225E-01  0.94197E-02  0.26773E-03  0.00000E+00  0.00000E+00
  0.00000E+00  0.00000E+00  0.68055E-04  0.43518E-02  0.27078E-01  0.27394E-01  0.00000E+00  0.27394E-01  0.27078E-01  0.43518E-02  0.68055E-04  0.00000E+00  0.00000E+00
  0.00000E+00 -0.55511E-16  0.43040E+00  0.62501E+00  0.64999E+00  0.64502E+00  0.27713E-01  0.64502E+00  0.64999E+00  0.62501E+00  0.43040E+00 -0.55511E-16  0.00000E+00
  0.00000E+00 -0.11102E-15  0.55688E+00  0.70871E+00  0.82454E+00  0.82550E+00  0.27830E-01  0.82550E+00  0.82454E+00  0.70871E+00  0.55688E+00 -0.11102E-15  0.00000E+00
  0.00000E+00 -0.41633E-16  0.67767E+00  0.78153E+00  0.99325E+00  0.99855E+00  0.27138E-01  0.99855E+00  0.99325E+00  0.78153E+00  0.67767E+00 -0.41633E-16  0.00000E+00
